2004_10,17,KB1_8 ,Dec-05,"ASW, AEM",Sep-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004_10,17,KB1_9 ,Dec-05,"ASW, AEM",Sep-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004_10,17,JNA_RD5,Mar-14,NCBI direct submission,Sep-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004_10,17,JNA_RD6,Mar-14,NCBI direct submission,Sep-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004_10,17,dcmb_1339,Jun-13,Poritz FEMS Microbiol lett,Sep-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004_10,17,11a5_1306,Mar-15,NCBI direct submission,Sep-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004_10,17,11a5_1503,Mar-15,NCBI direct submission,Sep-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004_10,17,GT_1189,Feb-10,NCBI direct submission,Sep-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004_10,17,GT_1344,Feb-10,NCBI direct submission,Sep-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004_10,17,cbdbA1453,Oct-05,"Kube, Nat. Biotech",Sep-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004_10,17,cbdbA1624,Oct-05,"Kube, Nat. Biotech",Sep-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004_10,17,AY374252,Sep-04,"Holscher, AEM",Sep-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004_10,17,MBmbrA,Aug-10,"Chow, ISMEJ",Sep-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004_10,17,8658187VS,Nov-09,"McMurdie, PLOS Gen.",Sep-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004_10,17,8658352VS  ,Nov-09,"McMurdie, PLOS Gen.",Sep-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005_10,38,KB13241_6,2012,LAH,Oct-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005_10,38,JNA_RD12,Mar-14,NCBI direct submission,Oct-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005_10,38,11a5_1428,Mar-15,NCBI direct submission,Oct-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005_10,38,GT_1276,Feb-10,NCBI direct submission,Oct-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005_10,38,cbdbA1550,Oct-05,"Kube, Nat. Biotech",Oct-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005_10,38,8658303VS ,Nov-09,"McMurdie, PLOS Gen.",Oct-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005_5,33,GT_1295,Feb-10,NCBI direct submission,Jan-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005_5,33,11a5_1448,Mar-15,NCBI direct submission,Jan-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005_5,33,DET1522,Jan-05,"Sheshadri, Nature",Jan-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005_5,33,cbdbA1570,Oct-05,"Kube, Nat. Biotech",Jan-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005_6,34,KB13109_9 ,2012,LAH,Jan-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
